Brand,Title,Review,Product 1,Product 2,Product 3,Product 4,Product 5,Subject 4,Prior Product,Buy Again
HelloProducts,Love this tooth paste,"Quality is great, taste is good, smell and texture is like a normal toothpaste after 3 days I've notice my teeth are whiter",Oral Care,Toothpaste,hello Toothpaste,hello TP Activated Charcoal Epic Whitening FluorFree,hello activated charcoal whitening fluo free toothpaste,54107 - Praise Product Fragrance,,
HelloProducts,Love this tooth paste,"Quality is great, taste is good, smell and texture is like a normal toothpaste after 3 days I've notice my teeth are whiter",Oral Care,Toothpaste,hello Toothpaste,hello TP Activated Charcoal Epic Whitening FluorFree,hello activated charcoal whitening fluo free toothpaste,54110 - Praise Product General,,
HelloProducts,Love this tooth paste,"Quality is great, taste is good, smell and texture is like a normal toothpaste after 3 days I've notice my teeth are whiter",Oral Care,Toothpaste,hello Toothpaste,hello TP Activated Charcoal Epic Whitening FluorFree,hello activated charcoal whitening fluo free toothpaste,54124 - Praise Product Whitens Well,,
HelloProducts,Love this tooth paste,"Quality is great, taste is good, smell and texture is like a normal toothpaste after 3 days I've notice my teeth are whiter",Oral Care,Toothpaste,hello Toothpaste,hello TP Activated Charcoal Epic Whitening FluorFree,hello activated charcoal whitening fluo free toothpaste,54128 - Praise Product Consistency,,
HelloProducts,My favorite,The only toothpaste I use without breaking out. My skin loves it. Makes teeth white. Leaves fresh breath and doesn't irritat teeth. No sensitivity at all.,Oral Care,Toothpaste,hello Toothpaste,hello TP Antiplaque + Whitening Fluorfree Nat Peppermint,hello antiplaque + whitening fluo free tp 4.7oz 3pk,54105 - Praise Product Cleans Well,,
HelloProducts,My favorite,The only toothpaste I use without breaking out. My skin loves it. Makes teeth white. Leaves fresh breath and doesn't irritat teeth. No sensitivity at all.,Oral Care,Toothpaste,hello Toothpaste,hello TP Antiplaque + Whitening Fluorfree Nat Peppermint,hello antiplaque + whitening fluo free tp 4.7oz 3pk,54110 - Praise Product General,,
HelloProducts,My favorite,The only toothpaste I use without breaking out. My skin loves it. Makes teeth white. Leaves fresh breath and doesn't irritat teeth. No sensitivity at all.,Oral Care,Toothpaste,hello Toothpaste,hello TP Antiplaque + Whitening Fluorfree Nat Peppermint,hello antiplaque + whitening fluo free tp 4.7oz 3pk,54112 - Praise Product No More Skin / Mouth Irritation,,
HelloProducts,My favorite,The only toothpaste I use without breaking out. My skin loves it. Makes teeth white. Leaves fresh breath and doesn't irritat teeth. No sensitivity at all.,Oral Care,Toothpaste,hello Toothpaste,hello TP Antiplaque + Whitening Fluorfree Nat Peppermint,hello antiplaque + whitening fluo free tp 4.7oz 3pk,54114 - Praise Product Effect on Skin,,
HelloProducts,My favorite,The only toothpaste I use without breaking out. My skin loves it. Makes teeth white. Leaves fresh breath and doesn't irritat teeth. No sensitivity at all.,Oral Care,Toothpaste,hello Toothpaste,hello TP Antiplaque + Whitening Fluorfree Nat Peppermint,hello antiplaque + whitening fluo free tp 4.7oz 3pk,54124 - Praise Product Whitens Well,,
HelloProducts,My favorite,The only toothpaste I use without breaking out. My skin loves it. Makes teeth white. Leaves fresh breath and doesn't irritat teeth. No sensitivity at all.,Oral Care,Toothpaste,hello Toothpaste,hello TP Antiplaque + Whitening Fluorfree Nat Peppermint,hello antiplaque + whitening fluo free tp 4.7oz 3pk,54131 - Praise Product Sensitivity / Pain Relief,,
Tom's of Maine,Good toothpaste,I honestly have no prob w the toothpaste- my prob is I have a terrible time opening to lid it snakes down so tight- so I have to leave the lid open!,Oral Care,Toothpaste,Tom's of Maine Toothpaste,Tom's TP Nat Children Unspecified,Tom's TP Nat Children Unspecified,13101 - Complaint Preference Package Dislikes Flip Cap,,
Tom's of Maine,Good toothpaste,I honestly have no prob w the toothpaste- my prob is I have a terrible time opening to lid it snakes down so tight- so I have to leave the lid open!,Oral Care,Toothpaste,Tom's of Maine Toothpaste,Tom's TP Nat Children Unspecified,Tom's TP Nat Children Unspecified,13114 - Complaint Preference Package Unclear How To Open,,
Palmolive,never use on plastic or porous surface,"the great thing about palmolive is that it scours your sink and drain and pipes--it also sticks to anything plastic or porous it touches: you will smell and taste it when you eat and drink from the surface it has touched--i use it on ovenware and glass, and, of course, as a mild draino in my sink--i advise against drinking it's smell and taste",Household Surface Care,Hand Dish Products,Pal Hand Dish Products,Pal LDL Ultra Strength,UPal Dish Liq Ultra Strength 20oz,14108 - Complaint Preference Product Dislikes Fragrance,,
Palmolive,never use on plastic or porous surface,"the great thing about palmolive is that it scours your sink and drain and pipes--it also sticks to anything plastic or porous it touches: you will smell and taste it when you eat and drink from the surface it has touched--i use it on ovenware and glass, and, of course, as a mild draino in my sink--i advise against drinking it's smell and taste",Household Surface Care,Hand Dish Products,Pal Hand Dish Products,Pal LDL Ultra Strength,UPal Dish Liq Ultra Strength 20oz,14109 - Complaint Preference Product Dislikes Flavor,,
Palmolive,never use on plastic or porous surface,"the great thing about palmolive is that it scours your sink and drain and pipes--it also sticks to anything plastic or porous it touches: you will smell and taste it when you eat and drink from the surface it has touched--i use it on ovenware and glass, and, of course, as a mild draino in my sink--i advise against drinking it's smell and taste",Household Surface Care,Hand Dish Products,Pal Hand Dish Products,Pal LDL Ultra Strength,UPal Dish Liq Ultra Strength 20oz,14112 - Complaint Preference Product Miscellaneous,,
Palmolive,Good product,Good product,Household Surface Care,Hand Dish Products,Pal Hand Dish Products,Pal LDL [non-ultra] Essential Clean Original,Pal LDL [non-ultra] Essential Clean Original 4.3L,54110 - Praise Product General,,
Colgate,Best budget toothbrush,The battery lasted for about 5 months of daily use for me. Outstanding budget toothbrush!,Oral Care,Powered Toothbrush,Colgate 360 Power Toothbrush,Col PTB 360 Sonic Power Optic White [Surround],360 Sonic Power PTB  Optic White FHS,54110 - Praise Product General,,
Colgate,Best budget toothbrush,The battery lasted for about 5 months of daily use for me. Outstanding budget toothbrush!,Oral Care,Powered Toothbrush,Colgate 360 Power Toothbrush,Col PTB 360 Sonic Power Optic White [Surround],360 Sonic Power PTB  Optic White FHS,54113 - Praise Product Economical,,
Colgate,Great toothpaste,"I saw that this toothpaste was great for sensitive teeth as well as a low abrasion rating on tooth enamel. It's great, and I love that it gets a bit foamy",Oral Care,Toothpaste,Colgate Sensitive Toothpaste,Col TP Sensitive Complete Protection,Col TP Sensitive Complete Protection 6oz 3pk,54109 - Praise Product Lathers / Suds Well,,
Colgate,Great toothpaste,"I saw that this toothpaste was great for sensitive teeth as well as a low abrasion rating on tooth enamel. It's great, and I love that it gets a bit foamy",Oral Care,Toothpaste,Colgate Sensitive Toothpaste,Col TP Sensitive Complete Protection,Col TP Sensitive Complete Protection 6oz 3pk,54110 - Praise Product General,,
Colgate,Great toothpaste,"I saw that this toothpaste was great for sensitive teeth as well as a low abrasion rating on tooth enamel. It's great, and I love that it gets a bit foamy",Oral Care,Toothpaste,Colgate Sensitive Toothpaste,Col TP Sensitive Complete Protection,Col TP Sensitive Complete Protection 6oz 3pk,54131 - Praise Product Sensitivity / Pain Relief,,
Colgate,Great Value,"Great value for your money, easy to use and last for 3 months. I like that it came in different colors so you can tell who's brush is whose. Slip proof handle. The bristles were not too hard And I ordered medium.",Oral Care,Manual Toothbrush,Colgate Classic/Extra Clean/Standard TB,Col TB Classic/Extra Clean,Col TB Extra Clean FHM 6pk,54103 - Praise Product Color,,
Colgate,Great Value,"Great value for your money, easy to use and last for 3 months. I like that it came in different colors so you can tell who's brush is whose. Slip proof handle. The bristles were not too hard And I ordered medium.",Oral Care,Manual Toothbrush,Colgate Classic/Extra Clean/Standard TB,Col TB Classic/Extra Clean,Col TB Extra Clean FHM 6pk,54110 - Praise Product General,,
Colgate,Great Value,"Great value for your money, easy to use and last for 3 months. I like that it came in different colors so you can tell who's brush is whose. Slip proof handle. The bristles were not too hard And I ordered medium.",Oral Care,Manual Toothbrush,Colgate Classic/Extra Clean/Standard TB,Col TB Classic/Extra Clean,Col TB Extra Clean FHM 6pk,54113 - Praise Product Economical,,
Colgate,Great Value,"Great value for your money, easy to use and last for 3 months. I like that it came in different colors so you can tell who's brush is whose. Slip proof handle. The bristles were not too hard And I ordered medium.",Oral Care,Manual Toothbrush,Colgate Classic/Extra Clean/Standard TB,Col TB Classic/Extra Clean,Col TB Extra Clean FHM 6pk,54120 - Praise Product Toothbrush Handle,,
Colgate,Great Value,"Great value for your money, easy to use and last for 3 months. I like that it came in different colors so you can tell who's brush is whose. Slip proof handle. The bristles were not too hard And I ordered medium.",Oral Care,Manual Toothbrush,Colgate Classic/Extra Clean/Standard TB,Col TB Classic/Extra Clean,Col TB Extra Clean FHM 6pk,54122 - Praise Product Toothbrush Head / Bristles,,
Colgate,It works,"I noticed a difference in 2 days. I honestly do not dry my teeth or wait for the whitener to dry before closing my mouth and it works great. Does leave a weird residue to clean off in the morning but there is no weird taste and you should always brush in the morning anyway... Have been using for a week and will continue to use and likely repurchase as needed. I usually use Crest strips but I don?t like having to wait around with them on, they feel gross.",Oral Care,Oral Care Device Delivery Systems,Colgate Optic/Luminous/Visible White Device Delivery Systems,Col [OpticWhte/Transformatve] Overnght Whitning Serum [Pen],Col Optic White Overnight Whitening Pen 2p,54110 - Praise Product General,Crest strips,Y
Colgate,It works,"I noticed a difference in 2 days. I honestly do not dry my teeth or wait for the whitener to dry before closing my mouth and it works great. Does leave a weird residue to clean off in the morning but there is no weird taste and you should always brush in the morning anyway... Have been using for a week and will continue to use and likely repurchase as needed. I usually use Crest strips but I don?t like having to wait around with them on, they feel gross.",Oral Care,Oral Care Device Delivery Systems,Colgate Optic/Luminous/Visible White Device Delivery Systems,Col [OpticWhte/Transformatve] Overnght Whitning Serum [Pen],Col Optic White Overnight Whitening Pen 2p,54124 - Praise Product Whitens Well,Crest strips,Y
Colgate,It works,"I noticed a difference in 2 days. I honestly do not dry my teeth or wait for the whitener to dry before closing my mouth and it works great. Does leave a weird residue to clean off in the morning but there is no weird taste and you should always brush in the morning anyway... Have been using for a week and will continue to use and likely repurchase as needed. I usually use Crest strips but I don?t like having to wait around with them on, they feel gross.",Oral Care,Oral Care Device Delivery Systems,Colgate Optic/Luminous/Visible White Device Delivery Systems,Col [OpticWhte/Transformatve] Overnght Whitning Serum [Pen],Col Optic White Overnight Whitening Pen 2p,54125 - Praise Product Convenience,Crest strips,Y
Softsoap,Hand washing,This is the same as buying in the store but less expensive. It arrived on time and subscribe and save allows us to save even more money on this product that we use regularly. Routine hand washing doesn't have to be a chore!,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS AB White Tea & Berry Fusion,Softsoap LHS AB White Tea & Berry Fusion 50oz,54110 - Praise Product General,,Y
Softsoap,Hand washing,This is the same as buying in the store but less expensive. It arrived on time and subscribe and save allows us to save even more money on this product that we use regularly. Routine hand washing doesn't have to be a chore!,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS AB White Tea & Berry Fusion,Softsoap LHS AB White Tea & Berry Fusion 50oz,54113 - Praise Product Economical,,Y
Softsoap,Hand washing,This is the same as buying in the store but less expensive. It arrived on time and subscribe and save allows us to save even more money on this product that we use regularly. Routine hand washing doesn't have to be a chore!,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS AB White Tea & Berry Fusion,Softsoap LHS AB White Tea & Berry Fusion 50oz,54125 - Praise Product Convenience,,Y
Ajax,perfumy odor,"Very perfumy scent for washing dishes. The scent stays on the utensils/plates/cups, etc. Watered down and does not last. Never get this again. I usually get the lemon scent that has no perfume in it.",Household Surface Care,Hand Dish Products,Ajax LDL,Ajax LDL Ultra Bleach Alternative Lime Twist,Ajax DL Ultra Bleach Alternative Lime&Vinegar 12.4oz +20%,14108 - Complaint Preference Product Dislikes Fragrance,Ajax Household Surface Care,N
Ajax,perfumy odor,"Very perfumy scent for washing dishes. The scent stays on the utensils/plates/cups, etc. Watered down and does not last. Never get this again. I usually get the lemon scent that has no perfume in it.",Household Surface Care,Hand Dish Products,Ajax LDL,Ajax LDL Ultra Bleach Alternative Lime Twist,Ajax DL Ultra Bleach Alternative Lime&Vinegar 12.4oz +20%,14117 - Complaint Preference Product Wants Unscented,Ajax Household Surface Care,N
Fabuloso,Good product,Not as strong smelling as there others. I use this in the back of my toilet so the water keeps flushing clean. Works great for this purpose.,Household Surface Care,All Purpose Cleaners,Fabuloso APC,Fabuloso MPC Liq 2X Watermelon,Fabuloso MPC Liq 2X Watermelon 56oz,54105 - Praise Product Cleans Well,,
Fabuloso,Good product,Not as strong smelling as there others. I use this in the back of my toilet so the water keeps flushing clean. Works great for this purpose.,Household Surface Care,All Purpose Cleaners,Fabuloso APC,Fabuloso MPC Liq 2X Watermelon,Fabuloso MPC Liq 2X Watermelon 56oz,54107 - Praise Product Fragrance,,
Fabuloso,Good product,Not as strong smelling as there others. I use this in the back of my toilet so the water keeps flushing clean. Works great for this purpose.,Household Surface Care,All Purpose Cleaners,Fabuloso APC,Fabuloso MPC Liq 2X Watermelon,Fabuloso MPC Liq 2X Watermelon 56oz,54110 - Praise Product General,,
Fabuloso,Good product,Not as strong smelling as there others. I use this in the back of my toilet so the water keeps flushing clean. Works great for this purpose.,Household Surface Care,All Purpose Cleaners,Fabuloso APC,Fabuloso MPC Liq 2X Watermelon,Fabuloso MPC Liq 2X Watermelon 56oz,54111 - Praise Product Multi-Use,,
HelloProducts,Works great!,This deodorant works great!,Personal Care,Other UAP,hello Unisex/Ungendered UAP,hello deo stick unicorn with shea butter,hello Deo Stick Unicorn with Shea Butter 2.6oz 2p,54110 - Praise Product General,,
HelloProducts,Works great!,This deodorant works great!,Personal Care,Other UAP,hello Unisex/Ungendered UAP,hello deo stick unicorn with shea butter,hello Deo Stick Unicorn with Shea Butter 2.6oz 2p,54118 - Praise Product Keeps Me Dry / Odor Free,,
Tom's of Maine,doesn't work,"doesn't work, still sweaty and smelly.",Personal Care,Men's Underarm Products,Tom's of Maine Mens UAP,Tom's Deo Stick Nat Long Lasting Men Mountain Spring,Tom's Deo Stick Nat Long Lasting Men Mountain Spring 2.8z3pk,14112 - Complaint Preference Product Miscellaneous,,
Tom's of Maine,Smells awful!,This deodorant makes you smell like sour rotten fruit. It?s awful.,Personal Care,Men's Underarm Products,Tom's of Maine Mens UAP,Tom's Deo Stick Nat Long Lasting Men Mountain Spring,Tom's Deo Stick Nat Long Lasting Men Mountain Spring 2.8z3pk,14108 - Complaint Preference Product Dislikes Fragrance,,
Tom's of Maine,Years of using this make healthy teeth,"I've been using Tom's floss for years and it's a constant favorite. I've tried others, some very new and popular, others the same old ""silk"" style, and always come back to Tom's. Big reason is that it's highly effective in its job - nothing else compares. I won't go TMI but it's much more efficient and effective at getting out what goes in, and keeping my teeth and gums very healthy. When trying other floss I always notice that my teeth just don't feel as clean and 'stripped' as they are with Tom's. I now buy it by the half dozen because it's just less expensive than single container purchase, and I'll always have enough. Love your teeth? Floss daily (or nightly) with Tom's floss - the old-person teeth you keep will thank you!",Oral Care,Oral Cleaning Device,Tom's of Maine Floss,Tom's Floss Nat AntiPlaque Flat Spearmint,Tom's Floss Nat Spearmint Flat,54105 - Praise Product Cleans Well,,Y
Tom's of Maine,Years of using this make healthy teeth,"I've been using Tom's floss for years and it's a constant favorite. I've tried others, some very new and popular, others the same old ""silk"" style, and always come back to Tom's. Big reason is that it's highly effective in its job - nothing else compares. I won't go TMI but it's much more efficient and effective at getting out what goes in, and keeping my teeth and gums very healthy. When trying other floss I always notice that my teeth just don't feel as clean and 'stripped' as they are with Tom's. I now buy it by the half dozen because it's just less expensive than single container purchase, and I'll always have enough. Love your teeth? Floss daily (or nightly) with Tom's floss - the old-person teeth you keep will thank you!",Oral Care,Oral Cleaning Device,Tom's of Maine Floss,Tom's Floss Nat AntiPlaque Flat Spearmint,Tom's Floss Nat Spearmint Flat,54110 - Praise Product General,,Y
Tom's of Maine,Years of using this make healthy teeth,"I've been using Tom's floss for years and it's a constant favorite. I've tried others, some very new and popular, others the same old ""silk"" style, and always come back to Tom's. Big reason is that it's highly effective in its job - nothing else compares. I won't go TMI but it's much more efficient and effective at getting out what goes in, and keeping my teeth and gums very healthy. When trying other floss I always notice that my teeth just don't feel as clean and 'stripped' as they are with Tom's. I now buy it by the half dozen because it's just less expensive than single container purchase, and I'll always have enough. Love your teeth? Floss daily (or nightly) with Tom's floss - the old-person teeth you keep will thank you!",Oral Care,Oral Cleaning Device,Tom's of Maine Floss,Tom's Floss Nat AntiPlaque Flat Spearmint,Tom's Floss Nat Spearmint Flat,54113 - Praise Product Economical,,Y
Tom's of Maine,Years of using this make healthy teeth,"I've been using Tom's floss for years and it's a constant favorite. I've tried others, some very new and popular, others the same old ""silk"" style, and always come back to Tom's. Big reason is that it's highly effective in its job - nothing else compares. I won't go TMI but it's much more efficient and effective at getting out what goes in, and keeping my teeth and gums very healthy. When trying other floss I always notice that my teeth just don't feel as clean and 'stripped' as they are with Tom's. I now buy it by the half dozen because it's just less expensive than single container purchase, and I'll always have enough. Love your teeth? Floss daily (or nightly) with Tom's floss - the old-person teeth you keep will thank you!",Oral Care,Oral Cleaning Device,Tom's of Maine Floss,Tom's Floss Nat AntiPlaque Flat Spearmint,Tom's Floss Nat Spearmint Flat,54123 - Praise Product Fights Cavities / Bad Breath,,Y
Colgate,Item missing,"I really like the Colgate Wisps. However, there were only three packs of 24 rather than four as described on Amazon. Thank you.",Oral Care,Manual Toothbrush,Colgate Wisp Mini TB,Col Wisp Mini TB MaxFresh Spearmint,Wisp Mini TB MaxFresh Spearmint 24pk,11906 - Complaint Issue Other Miscellaneous,,
Softsoap,Cantidad,Excelente compra a buen precio. Lo recomiendo.,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS Advanced Clean,SSLHS Advanced Clean 80oz Twin Pack,54110 - Praise Product General,,
Softsoap,Cantidad,Excelente compra a buen precio. Lo recomiendo.,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS Advanced Clean,SSLHS Advanced Clean 80oz Twin Pack,54113 - Praise Product Economical,,
Softsoap,Good buy and works,Works well in our medical office without causing the usual severe dry skin.,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk&Honey 7.5oz pump,54110 - Praise Product General,,
Softsoap,Good buy and works,Works well in our medical office without causing the usual severe dry skin.,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk&Honey 7.5oz pump,54114 - Praise Product Effect on Skin,,
Softsoap,Great For Daily Usage,Looks great in our bathroom and has a very nice smell. Also seems to be made of great quality and is very nice to use.,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk&Honey 7.5oz pump,54102 - Praise Product Package,,
Softsoap,Great For Daily Usage,Looks great in our bathroom and has a very nice smell. Also seems to be made of great quality and is very nice to use.,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk&Honey 7.5oz pump,54107 - Praise Product Fragrance,,
Softsoap,Great For Daily Usage,Looks great in our bathroom and has a very nice smell. Also seems to be made of great quality and is very nice to use.,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk&Honey 7.5oz pump,54110 - Praise Product General,,
Colgate,The people who packed my orders CAN?T READ!,"Three times I?ve ordered Colgate toothPASTE, and each time I received toothGEL!! I love the taste of the original white paste. Not so much the gel. BTW: I love Colgate Toothpaste and have been using it for over 70 years!!",Oral Care,Toothpaste,Colgate Sensitive Toothpaste,Col TP Sensitive Whitening,Colgate Sensitive+Whitening TP 4oz,11906 - Complaint Issue Other Miscellaneous,,
Colgate,The people who packed my orders CAN?T READ!,"Three times I?ve ordered Colgate toothPASTE, and each time I received toothGEL!! I love the taste of the original white paste. Not so much the gel. BTW: I love Colgate Toothpaste and have been using it for over 70 years!!",Oral Care,Toothpaste,Colgate Sensitive Toothpaste,Col TP Sensitive Whitening,Colgate Sensitive+Whitening TP 4oz,54106 - Praise Product Flavor,,
Colgate,The people who packed my orders CAN?T READ!,"Three times I?ve ordered Colgate toothPASTE, and each time I received toothGEL!! I love the taste of the original white paste. Not so much the gel. BTW: I love Colgate Toothpaste and have been using it for over 70 years!!",Oral Care,Toothpaste,Colgate Sensitive Toothpaste,Col TP Sensitive Whitening,Colgate Sensitive+Whitening TP 4oz,54110 - Praise Product General,,
Colgate,Didn't work,"My teeth aren't overly stained, but I wanted to brighten them up. The Colgate whitening pen didn't do anything to improve my teeth. I followed the directions and used it for two weeks, then gave up and threw it away.",Oral Care,Oral Care Device Delivery Systems,Colgate Optic/Luminous/Visible White Device Delivery Systems,Col [OpticWhte/Transformatve] Overnght Whitning Serum [Pen],Col Optic White Overnight Whitening Pen 2p,14112 - Complaint Preference Product Miscellaneous,,
Colgate,Not soft - quite hard,"If you have sensitive gums, do not use these. They are not soft as advertised and are quite hard. Very hard actually. Not good if you care about your gum's well being.",Oral Care,Manual Toothbrush,Colgate Classic/Extra Clean/Standard TB,Col TB Classic/Extra Clean,Extra Clean TB FHS 6pk,14101 - Complaint Preference Product Bristles Too Hard,,
Colgate,Multi pack of tooth brushes,I?ve orders these twice now. They arrived on time and in great condition. The quality is as expected.,Oral Care,Manual Toothbrush,Colgate Classic/Extra Clean/Standard TB,Col TB Classic/Extra Clean,Extra Clean TB FHS 6pk,54110 - Praise Product General,,Y
Softsoap,Mauvaise qualité,"Trop liquide, ne reste pas dans la main et ne savonne pas..",Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS AB White Tea & Berry Fusion,Softsoap LHS AB White Tea & Berry Fusion 1.47L,14105 - Complaint Preference Product Dislikes Consistency / Texture,,
Softsoap,only hand soap I will use now,purchased for daughters wedding to fill into soap dispensers - great value!! And left hands so soft - smells great too!,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54107 - Praise Product Fragrance,,Y
Softsoap,only hand soap I will use now,purchased for daughters wedding to fill into soap dispensers - great value!! And left hands so soft - smells great too!,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54110 - Praise Product General,,Y
Softsoap,only hand soap I will use now,purchased for daughters wedding to fill into soap dispensers - great value!! And left hands so soft - smells great too!,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54113 - Praise Product Economical,,Y
Softsoap,only hand soap I will use now,purchased for daughters wedding to fill into soap dispensers - great value!! And left hands so soft - smells great too!,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54114 - Praise Product Effect on Skin,,Y
Softsoap,Kind to your hands,"This is a creamy, soothing soap that?s kind to hands.",Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54110 - Praise Product General,,
Softsoap,Kind to your hands,"This is a creamy, soothing soap that?s kind to hands.",Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54114 - Praise Product Effect on Skin,,
Softsoap,Kind to your hands,"This is a creamy, soothing soap that?s kind to hands.",Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54128 - Praise Product Consistency,,
Softsoap,Smells good,I wasn?t expecting a hand soap to be so creamy but it seems to work and the honey vanilla smells nice,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54107 - Praise Product Fragrance,,
Softsoap,Smells good,I wasn?t expecting a hand soap to be so creamy but it seems to work and the honey vanilla smells nice,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54128 - Praise Product Consistency,,
Softsoap,Smells good,I wasn?t expecting a hand soap to be so creamy but it seems to work and the honey vanilla smells nice,Personal Care,Liquid Hand Soaps,Softsoap Naturals LHS,Softsoap LHS Nats Milk & Honey,Softsoap LHS Milk & Golden Honey Refill 50oz,54110 - Praise Product General,,
Irish Spring,Great Value,great value,Personal Care,Body Wash,Irish Spring Shower,Irish Spring BW Original Clean,Irish Spring BW Original Clean 30oz,54110 - Praise Product General,,
